date,product,quantity,price,revenue
2024-04-01,Laptop,3,999.99,2999.9700000000003
2024-04-02,Mouse,3,25.5,76.5
2024-04-03,Keyboard,3,79.99,239.96999999999997
2024-04-04,Monitor,3,299.99,899.97
2024-04-05,Headphones,3,149.99,449.97
2024-04-06,Laptop,3,999.99,2999.9700000000003
2024-04-07,Mouse,3,25.5,76.5
2024-04-08,Keyboard,3,79.99,239.96999999999997
2024-04-09,Monitor,3,299.99,899.97
2024-04-10,Headphones,3,149.99,449.97
2024-04-11,Laptop,3,999.99,2999.9700000000003
2024-04-12,Mouse,3,25.5,76.5
2024-04-13,Keyboard,3,79.99,239.96999999999997
2024-04-14,Monitor,3,299.99,899.97
2024-04-15,Headphones,3,149.99,449.97
