date,product,quantity,price,revenue
2024-08-01,Laptop,4,999.99,3999.96
2024-08-02,Mouse,4,25.5,102.0
2024-08-03,Keyboard,4,79.99,319.96
2024-08-04,Monitor,4,299.99,1199.96
2024-08-05,Headphones,4,149.99,599.96
2024-08-06,Laptop,4,999.99,3999.96
2024-08-07,Mouse,4,25.5,102.0
2024-08-08,Keyboard,4,79.99,319.96
2024-08-09,Monitor,4,299.99,1199.96
2024-08-10,Headphones,4,149.99,599.96
2024-08-11,Laptop,4,999.99,3999.96
2024-08-12,Mouse,4,25.5,102.0
2024-08-13,Keyboard,4,79.99,319.96
2024-08-14,Monitor,4,299.99,1199.96
2024-08-15,Headphones,4,149.99,599.96
