date,product,quantity,price,revenue
2024-12-01,Laptop,2,999.99,1999.98
2024-12-02,Mouse,2,25.5,51.0
2024-12-03,Keyboard,2,79.99,159.98
2024-12-04,Monitor,2,299.99,599.98
2024-12-05,Headphones,2,149.99,299.98
2024-12-06,Laptop,2,999.99,1999.98
2024-12-07,Mouse,2,25.5,51.0
2024-12-08,Keyboard,2,79.99,159.98
2024-12-09,Monitor,2,299.99,599.98
2024-12-10,Headphones,2,149.99,299.98
2024-12-11,Laptop,2,999.99,1999.98
2024-12-12,Mouse,2,25.5,51.0
2024-12-13,Keyboard,2,79.99,159.98
2024-12-14,Monitor,2,299.99,599.98
2024-12-15,Headphones,2,149.99,299.98
