date,product,quantity,price,revenue
2024-01-01,Laptop,3,999.99,2999.9700000000003
2024-01-02,Mouse,3,25.5,76.5
2024-01-03,Keyboard,3,79.99,239.96999999999997
2024-01-04,Monitor,3,299.99,899.97
2024-01-05,Headphones,3,149.99,449.97
2024-01-06,Laptop,3,999.99,2999.9700000000003
2024-01-07,Mouse,3,25.5,76.5
2024-01-08,Keyboard,3,79.99,239.96999999999997
2024-01-09,Monitor,3,299.99,899.97
2024-01-10,Headphones,3,149.99,449.97
2024-01-11,Laptop,3,999.99,2999.9700000000003
2024-01-12,Mouse,3,25.5,76.5
2024-01-13,Keyboard,3,79.99,239.96999999999997
2024-01-14,Monitor,3,299.99,899.97
2024-01-15,Headphones,3,149.99,449.97
