date,product,quantity,price,revenue
2024-03-01,Laptop,2,999.99,1999.98
2024-03-02,Mouse,2,25.5,51.0
2024-03-03,Keyboard,2,79.99,159.98
2024-03-04,Monitor,2,299.99,599.98
2024-03-05,Headphones,2,149.99,299.98
2024-03-06,Laptop,2,999.99,1999.98
2024-03-07,Mouse,2,25.5,51.0
2024-03-08,Keyboard,2,79.99,159.98
2024-03-09,Monitor,2,299.99,599.98
2024-03-10,Headphones,2,149.99,299.98
2024-03-11,Laptop,2,999.99,1999.98
2024-03-12,Mouse,2,25.5,51.0
2024-03-13,Keyboard,2,79.99,159.98
2024-03-14,Monitor,2,299.99,599.98
2024-03-15,Headphones,2,149.99,299.98
