date,product,quantity,price,revenue
2024-05-01,Laptop,4,999.99,3999.96
2024-05-02,Mouse,4,25.5,102.0
2024-05-03,Keyboard,4,79.99,319.96
2024-05-04,Monitor,4,299.99,1199.96
2024-05-05,Headphones,4,149.99,599.96
2024-05-06,Laptop,4,999.99,3999.96
2024-05-07,Mouse,4,25.5,102.0
2024-05-08,Keyboard,4,79.99,319.96
2024-05-09,Monitor,4,299.99,1199.96
2024-05-10,Headphones,4,149.99,599.96
2024-05-11,Laptop,4,999.99,3999.96
2024-05-12,Mouse,4,25.5,102.0
2024-05-13,Keyboard,4,79.99,319.96
2024-05-14,Monitor,4,299.99,1199.96
2024-05-15,Headphones,4,149.99,599.96
