date,product,quantity,price,revenue
2024-11-01,Laptop,4,999.99,3999.96
2024-11-02,Mouse,4,25.5,102.0
2024-11-03,Keyboard,4,79.99,319.96
2024-11-04,Monitor,4,299.99,1199.96
2024-11-05,Headphones,4,149.99,599.96
2024-11-06,Laptop,4,999.99,3999.96
2024-11-07,Mouse,4,25.5,102.0
2024-11-08,Keyboard,4,79.99,319.96
2024-11-09,Monitor,4,299.99,1199.96
2024-11-10,Headphones,4,149.99,599.96
2024-11-11,Laptop,4,999.99,3999.96
2024-11-12,Mouse,4,25.5,102.0
2024-11-13,Keyboard,4,79.99,319.96
2024-11-14,Monitor,4,299.99,1199.96
2024-11-15,Headphones,4,149.99,599.96
