date,product,quantity,price,revenue
2024-09-01,Laptop,2,999.99,1999.98
2024-09-02,Mouse,2,25.5,51.0
2024-09-03,Keyboard,2,79.99,159.98
2024-09-04,Monitor,2,299.99,599.98
2024-09-05,Headphones,2,149.99,299.98
2024-09-06,Laptop,2,999.99,1999.98
2024-09-07,Mouse,2,25.5,51.0
2024-09-08,Keyboard,2,79.99,159.98
2024-09-09,Monitor,2,299.99,599.98
2024-09-10,Headphones,2,149.99,299.98
2024-09-11,Laptop,2,999.99,1999.98
2024-09-12,Mouse,2,25.5,51.0
2024-09-13,Keyboard,2,79.99,159.98
2024-09-14,Monitor,2,299.99,599.98
2024-09-15,Headphones,2,149.99,299.98
